InvoiceDate,Country,count
2010-11-29,Australia,14
2010-11-29,Austria,0
2010-11-29,Bahrain,0
2010-11-29,Belgium,12
2010-11-29,Brazil,0
2010-11-29,Canada,0
2010-11-29,Channel Islands,0
2010-11-29,Cyprus,0
2010-11-29,Czech Republic,0
2010-11-29,Denmark,0
2010-11-29,EIRE,132
2010-11-29,European Community,0
2010-11-29,Finland,0
2010-11-29,France,106
2010-11-29,Germany,179
2010-11-29,Greece,0
2010-11-29,Iceland,0
2010-11-29,Israel,0
2010-11-29,Italy,24
2010-11-29,Japan,16
2010-11-29,Lebanon,0
2010-11-29,Lithuania,34
2010-11-29,Malta,0
2010-11-29,Netherlands,2
2010-11-29,Norway,73
2010-11-29,Poland,8
2010-11-29,Portugal,14
2010-11-29,RSA,0
2010-11-29,Saudi Arabia,0
2010-11-29,Singapore,0
2010-11-29,Spain,5
2010-11-29,Sweden,0
2010-11-29,Switzerland,6
2010-11-29,USA,0
2010-11-29,United Arab Emirates,0
2010-11-29,United Kingdom,8817
2010-11-29,Unspecified,0
2010-12-06,Australia,8
2010-12-06,Austria,0
2010-12-06,Bahrain,0
2010-12-06,Belgium,0
2010-12-06,Brazil,0
2010-12-06,Canada,0
2010-12-06,Channel Islands,17
2010-12-06,Cyprus,0
2010-12-06,Czech Republic,0
2010-12-06,Denmark,20
2010-12-06,EIRE,83
2010-12-06,European Community,0
2010-12-06,Finland,0
2010-12-06,France,178
2010-12-06,Germany,108
2010-12-06,Greece,0
2010-12-06,Iceland,31
2010-12-06,Israel,0
2010-12-06,Italy,0
2010-12-06,Japan,49
2010-12-06,Lebanon,0
2010-12-06,Lithuania,1
2010-12-06,Malta,0
2010-12-06,Netherlands,0
2010-12-06,Norway,74
2010-12-06,Poland,0
2010-12-06,Portugal,80
2010-12-06,RSA,0
2010-12-06,Saudi Arabia,0
2010-12-06,Singapore,0
2010-12-06,Spain,60
2010-12-06,Sweden,0
2010-12-06,Switzerland,0
2010-12-06,USA,0
2010-12-06,United Arab Emirates,0
2010-12-06,United Kingdom,8031
2010-12-06,Unspecified,0
2010-12-13,Australia,9
2010-12-13,Austria,8
2010-12-13,Bahrain,0
2010-12-13,Belgium,30
2010-12-13,Brazil,0
2010-12-13,Canada,0
2010-12-13,Channel Islands,0
2010-12-13,Cyprus,82
2010-12-13,Czech Republic,0
